,Clean Ticket Type,Ticket Category
0,adulteaccompagnant,Volunteer
1,adultebenevole,Volunteer
2,advancedcdjdketten,Participant
3,arduino,Participant
4,arduinoplus,Participant
5,atelierhtmlminimumans,Participant
6,ateliermbot,Participant
7,ateliermbotminimumans,Participant
8,ateliermicrobit,Participant
9,ateliermicrobitminimumans,Participant
10,atelierscratch,Participant
11,atelierarduinominimumans,Participant
12,atelierdeprogrammation,Participant
13,atelierpython,Participant
14,atelierpythonminimumans,Participant
15,begeleidendeouder,Other
16,beginnerstrajectscratch,Participant
17,benevole,Volunteer
18,benevolecoach,Volunteer
19,benevoleuniquementpourlequipeinterne,Volunteer
20,cdjdc,Volunteer
21,coach,Volunteer
22,coachbenevole,Volunteer
23,coachbenevole,Volunteer
24,coachcoderdojozwalm,Volunteer
25,coachx,Volunteer
26,coachcookmethunninjas,Participant
27,coachcookninja,Participant
28,coachhelper,Volunteer
29,coachescooksninjas,Participant
30,coachesvrijwilligers,Volunteer
31,coderdojocoach,Volunteer
32,coderdojocoachvrijwilliger,Volunteer
33,cook,Volunteer
34,dekringdeelnemers,Participant
35,deelnemer,Participant
36,deelnemerarduinoofeigenproject,Participant
37,deelnemereigenvervoer,Participant
38,deelnemerlegospike,Participant
39,deelnemermicrobit,Participant
40,deelnemerscratch,Participant
41,deelnemerscratchlegospike,Participant
42,deelnemeradem,Participant
43,deelnemeralgemeen,Participant
44,deelnemerenkelmeisjes,Participant
45,deelnemerninja,Participant
46,deelnemerscratchnavolgenvandeinitiatie,Participant
47,deelnemershowandtellreceptie,Participant
48,deelnemerarduino,Participant
49,deelnemergevorderdescratchvollestempelkaart,Participant
50,deelnemermicrobit,Participant
51,deelnemermicrobit,Participant
52,deelnemerpython,Participant
53,deelnemerscratch,Participant
54,deelnemerscratchnavolgenvandeinitiatie,Participant
55,deelnemerzondereigenlaptop,Participant
56,deelnemerparticipant,Participant
57,eigentrajectzelfstandigwerken,Participant
58,enfantparticipant,Participant
59,extra,Participant
60,generaladmission,Participant
61,initiatieeerstedeelnamecodeorg,Participant
62,initiatiescratcheerstedeelname,Participant
63,initiationjavascript,Participant
64,kidvrijwilliger,Participant
65,kidsvancoachhelper,Participant
66,kindvancoach,Participant
67,kindvanvrijwilliger,Participant
68,kinderenvanvrijwilligers,Participant
69,kinderenvrijwilligers,Participant
70,laptop,Participant
71,laptopreserveren,Participant
72,legomindstorms,Participant
73,legowedo,Participant
74,lidvancoderdojoclubdepinte,Participant
75,margerithatomatensausenmozarella,Participant
76,martensliesl,Participant
77,metuitnodiging,Participant
78,microbitgevorderdekennisscratchnodig,Participant
79,microbitarduinohalfjaarlijksvoorjaar,Participant
80,microbitmbotarduino,Participant
81,microbitbeginner,Participant
82,microbitgevorderd,Participant
83,microbitrobot,Participant
84,minecraftsessieeigenpcmetminecraftnodig,Participant
85,nieuwlidcoderdojoclubdepinte,Participant
86,ninja,Participant
87,ninjaaanwezigheledaguu,Participant
88,ninjaaanwezignmuu,Participant
89,ninjaaanwezigvmuu,Participant
90,ninjacoderdojoclubdepinte,Participant
91,ontdekhetaanbod,Participant
92,ouder,Other
93,oudervandeelnemer,Other
94,ouderbegeleider,Other
95,padawans,Participant
96,parentaideintendance,Other
97,parentsupportcoach,Other
98,parentouder,Other
99,participant,Participant
100,participantinvite,Participant
101,participantdeelnemer,Participant
102,participante,Participant
103,participante,Participant
104,participants,Participant
105,projectd,Participant
106,python,Participant
107,pythongevorderdenjaartraject,Participant
108,pythoncrew,Participant
109,roblox,Participant
110,robloxhalfjaarlijksvoorjaar,Participant
111,robloxdeelnemer,Participant
112,roboticaelektronicadeelnemer,Participant
113,robotiqueans,Participant
114,sannin,Participant
115,scratch,Participant
116,scratchbeginners,Participant
117,scratchavanceans,Participant
118,scratchbeginners,Participant
119,scratchdebutantans,Participant
120,scratchdeelnemer,Participant
121,scratchtotj,Participant
122,scratchvanafj,Participant
123,scratcharduinorobotsliefstmeteigenpc,Participant
124,shinobi,Participant
125,special,Participant
126,stefblommaert,Participant
127,ticketvoorshowandtellreceptie,Participant
128,trajectarduinogevorderden,Participant
129,trajectmicrobitlichtgevorderden,Participant
130,utilisationdunpccoder,Participant
131,veggiepaprikarodeuichampignonsschijfjest,Participant
132,vikveryimportantkid,Participant
133,vipdeelnemer,Participant
134,volontairevrijwilligervolunteer,Volunteer
135,volunteer,Volunteer
136,volwassenenaanwezigheledaguu,Volunteer
137,volwassenenaanwezignmuu,Volunteer
138,volwassenenaanwezigvmuu,Volunteer
139,voorinschrijving,Participant
140,vrijwillgercoachaanwezigheledaguu,Volunteer
141,vrijwilliger,Volunteer
142,vrijwilligercoach,Volunteer
143,vrijwilligercoachaanwezignmuu,Volunteer
144,vrijwilligercoachaanwezigvmuu,Volunteer
145,vrijwilligercoach,Volunteer
146,vrijwilligerbenevolevolunteer,Volunteer
147,vrijwilligerouder,Volunteer
148,webdesignervanafj,Participant
